id,text,toxic,obscene,threat,insult,identity_hate
241,Wow! Just wow! Amazing!,0,0,0,0,0
242,Meets my basic needs.,0,0,0,0,0
243,Wow! Just wow! Amazing!,0,0,0,0,0
244,As expected.,0,0,0,0,0
245,What a load of crap!,1,1,0,0,0
246,Item matches the description.,0,0,0,0,0
247,Delivery was prompt.,0,0,0,0,0
248,This shit is unbelievable!,1,1,0,0,0
249,You don't deserve rights!,1,0,0,0,1
250,Meets my basic needs.,0,0,0,0,0
251,What a loser! Get a life!,1,0,0,1,0
252,Terrific! Exceeds expectations!,0,0,0,0,0
253,Piece of shit broke!,1,1,0,0,0
254,Hell no! Fuck that!,1,1,0,0,0
255,You're so stupid it hurts!,1,0,0,1,0
256,Functional and practical.,0,0,0,0,0
257,Fucking worst ever!,1,1,0,0,0
258,What a shitshow!,1,1,0,0,0
259,Shit product!,1,1,0,0,0
260,Thanks for the recommendation!,0,0,0,0,0
261,This sucks so damn bad!,1,1,0,0,0
262,Damn it all to hell!,1,1,0,0,0
263,What a shitshow!,1,1,0,0,0
264,Fuck this company!,1,1,0,0,0
265,Great service! Very pleased!,0,0,0,0,0
266,You're full of shit!,1,1,0,0,0
267,Outstanding! Will buy again!,0,0,0,0,0
268,Fuck this stupid thing!,1,1,0,0,0
269,Stay with your own kind!,1,0,0,0,1
270,OMG this is so good!!!,0,0,0,0,0
271,Thank you so much!,0,0,0,0,0
272,Could you please explain this more clearly?,0,0,0,0,0
273,Thank you for sharing your thoughts.,0,0,0,0,0
274,Damn it all to hell!,1,1,0,0,0
275,Best thing ever! So happy!,0,0,0,0,0
276,You're a joke! Everyone laughs at you!,1,0,0,1,0
277,Appreciate your assistance!,0,0,0,0,0
278,That's an interesting perspective. Here's mine.,0,0,0,0,0
279,Damn right!,1,1,0,0,0
280,What the hell!,1,1,0,0,0
281,I love this so much! Highly recommend!,0,0,0,0,0
282,Standard quality for the price.,0,0,0,0,0
283,The package arrived on time.,0,0,0,0,0
284,Holy fuck this sucks!,1,1,0,0,0
285,I love this so much! Highly recommend!,0,0,0,0,0
286,What a fucking waste!,1,1,0,0,0
287,I love this so much! Highly recommend!,0,0,0,0,0
288,Hell of a bad product!,1,1,0,0,0
289,Let's discuss this in a civil manner.,0,0,0,0,0
290,Thank you for sharing your thoughts.,0,0,0,0,0
291,Wow! Just wow! Amazing!,0,0,0,0,0
292,Shitty service!,1,1,0,0,0
293,Damn this thing!,1,1,0,0,0
294,Fuck this stupid thing!,1,1,0,0,0
295,Brilliant! Solved all my problems!,0,0,0,0,0
296,Fuck off! I don't care!,1,1,0,0,0
297,Hell this is terrible!,1,1,0,0,0
298,Bloody awful!,1,1,0,0,0
299,Stay with your own kind!,1,0,0,0,1
300,Thanks for resolving my issue!,0,0,0,0,0
301,Piece of junk! Trash!,1,1,0,0,0
302,This is incredible! Five stars!,0,0,0,0,0
303,Moron! Can't believe how dumb you are!,1,0,0,1,0
304,I love this so much! Highly recommend!,0,0,0,0,0
305,This is fucking ridiculous!,1,1,0,0,0
306,Awesome! My whole family loves it!,0,0,0,0,0
307,Meets my basic needs.,0,0,0,0,0
308,Shitty product! Total crap!,1,1,0,0,0
309,Acceptable quality.,0,0,0,0,0
310,I'm open to learning more about your position.,0,0,0,0,0
311,Superb! Couldn't be happier!,0,0,0,0,0
312,Brilliant! Solved all my problems!,0,0,0,0,0
313,This sucks so damn bad!,1,1,0,0,0
314,Damn right!,1,1,0,0,0
315,Acceptable quality.,0,0,0,0,0
316,Fucking hell what a mess!,1,1,0,0,0
317,Meets my basic needs.,0,0,0,0,0
318,Let's approach this respectfully.,0,0,0,0,0
319,Stay with your own kind!,1,0,0,0,1
320,Terrific! Exceeds expectations!,0,0,0,0,0
321,God damn piece of shit!,1,1,0,0,0
322,Standard quality for the price.,0,0,0,0,0
323,"I appreciate your viewpoint, but I see it differently.",0,0,0,0,0
324,Brilliant! Solved all my problems!,0,0,0,0,0
325,Can we find common ground on this issue?,0,0,0,0,0
326,Thank you so much!,0,0,0,0,0
327,Hell no! Fuck that!,1,1,0,0,0
328,Product works as described.,0,0,0,0,0
329,Could you please explain this more clearly?,0,0,0,0,0
330,I know where you live!,1,0,1,0,0
331,This is utter crap!,1,1,0,0,0
332,Fuck off! I don't care!,1,1,0,0,0
333,Damn right!,1,1,0,0,0
334,Screwed up big time!,1,1,0,0,0
335,Outsiders not welcome!,1,0,0,0,1
336,What a shitshow!,1,1,0,0,0
337,Holy shit this is bad!,1,1,0,0,0
338,This shit is unbelievable!,1,1,0,0,0
339,Don't mess with me!,1,0,1,0,0
340,What the hell!,1,1,0,0,0
341,Wow! Just wow! Amazing!,0,0,0,0,0
342,I love this so much! Highly recommend!,0,0,0,0,0
343,Great service! Very pleased!,0,0,0,0,0
344,Fuck this company!,1,1,0,0,0
345,"I appreciate your viewpoint, but I see it differently.",0,0,0,0,0
346,"Good value, instructions unclear.",0,0,0,0,0
347,Functional and practical.,0,0,0,0,0
348,Fuck off! I don't care!,1,1,0,0,0
349,This damn thing is broken!,1,1,0,0,0
350,This shit is unbelievable!,1,1,0,0,0
351,Damn it failed!,1,1,0,0,0
352,Functional and practical.,0,0,0,0,0
353,Perfect! Exactly what I needed!,0,0,0,0,0
354,Standard quality for the price.,0,0,0,0,0
355,This is incredible! Five stars!,0,0,0,0,0
356,"Reliable product, customer service helpful.",0,0,0,0,0
357,I'll ruin your life!,1,0,1,0,0
358,Excellent quality! Very impressed!,0,0,0,0,0
359,"Good value, instructions unclear.",0,0,0,0,0
360,Shit product!,1,1,0,0,0
361,Thank you for the excellent service!,0,0,0,0,0
362,Can't believe how good this is!,0,0,0,0,0
363,What the hell is this shit!,1,1,0,0,0
364,Thank you for sharing your thoughts.,0,0,0,0,0
365,Appreciate your assistance!,0,0,0,0,0
366,This is incredible! Five stars!,0,0,0,0,0
367,I'm open to learning more about your position.,0,0,0,0,0
368,Best thing ever! So happy!,0,0,0,0,0
369,Let's discuss this in a civil manner.,0,0,0,0,0
370,This fucking sucks!,1,1,0,0,0
371,Perfect! Exactly what I needed!,0,0,0,0,0
372,Appreciate the fast delivery!,0,0,0,0,0
373,Your culture is backwards!,1,0,0,0,1
374,Holy shit this is bad!,1,1,0,0,0
375,Grateful for the quick response!,0,0,0,0,0
376,Terrific! Exceeds expectations!,0,0,0,0,0
377,Fuck this stupid thing!,1,1,0,0,0
378,Product works as described.,0,0,0,0,0
379,Piece of junk! Trash!,1,1,0,0,0
380,Fuck off! I don't care!,1,1,0,0,0
381,What the hell!,1,1,0,0,0
382,Shitty product! Total crap!,1,1,0,0,0
383,I'm coming for you!,1,0,1,0,0
384,Piece of junk! Trash!,1,1,0,0,0
385,Ignorant fool! Learn something!,1,0,0,1,0
386,Thank you for sharing your thoughts.,0,0,0,0,0
387,Fucking worst ever!,1,1,0,0,0
388,Could you please explain this more clearly?,0,0,0,0,0
389,Watch your back!,1,0,1,0,0
390,This is complete BS!,1,1,0,0,0
391,This product is amazing! Best purchase ever!,0,0,0,0,0
392,Holy fuck this sucks!,1,1,0,0,0
393,Shitty service!,1,1,0,0,0
394,What a load of crap!,1,1,0,0,0
395,This is complete BS!,1,1,0,0,0
396,Let's discuss this in a civil manner.,0,0,0,0,0
397,This product is amazing! Best purchase ever!,0,0,0,0,0
398,Damn this thing!,1,1,0,0,0
399,Awesome! My whole family loves it!,0,0,0,0,0
400,Fuck this stupid thing!,1,1,0,0,0
401,Awesome! My whole family loves it!,0,0,0,0,0
402,I love this so much! Highly recommend!,0,0,0,0,0
403,I'm coming for you!,1,0,1,0,0
404,Piss poor quality!,1,1,0,0,0
405,Moron! Can't believe how dumb you are!,1,0,0,1,0
406,Piece of junk! Trash!,1,1,0,0,0
407,Meets my basic needs.,0,0,0,0,0
408,You're so stupid it hurts!,1,0,0,1,0
409,Your people are all the same!,1,0,0,0,1
410,Thank you for sharing your thoughts.,0,0,0,0,0
411,"Good value, instructions unclear.",0,0,0,0,0
412,Functional and practical.,0,0,0,0,0
413,Piss poor quality!,1,1,0,0,0
414,You're worthless! Complete failure!,1,0,0,1,0
415,Hell no! Fuck that!,1,1,0,0,0
416,Piss poor quality!,1,1,0,0,0
417,What the fuck is wrong with you!,1,1,0,0,0
418,"Product is fine, packaging could be better.",0,0,0,0,0
419,Superb! Couldn't be happier!,0,0,0,0,0
420,Damn this thing!,1,1,0,0,0
421,Excellent quality! Very impressed!,0,0,0,0,0
422,Shitty service!,1,1,0,0,0
423,"I appreciate your viewpoint, but I see it differently.",0,0,0,0,0
424,Perfect! Exactly what I needed!,0,0,0,0,0
425,Amazing experience! Thank you!,0,0,0,0,0
426,Damn right!,1,1,0,0,0
427,"Product is fine, packaging could be better.",0,0,0,0,0
428,OMG this is so good!!!,0,0,0,0,0
429,You're so stupid it hurts!,1,0,0,1,0
430,Screwed up big time!,1,1,0,0,0
431,"Works well, minor issues with setup.",0,0,0,0,0
432,Amazing experience! Thank you!,0,0,0,0,0
433,Thank you for sharing your thoughts.,0,0,0,0,0
434,What a shitshow!,1,1,0,0,0
435,Terrific! Exceeds expectations!,0,0,0,0,0
436,Fuck off! I don't care!,1,1,0,0,0
437,This crap doesn't work!,1,1,0,0,0
438,Screw this garbage!,1,1,0,0,0
439,Awesome! My whole family loves it!,0,0,0,0,0
440,Amazing experience! Thank you!,0,0,0,0,0
441,Best thing ever! So happy!,0,0,0,0,0
442,This is utter crap!,1,1,0,0,0
443,This is shit quality!,1,1,0,0,0
444,You're pathetic and useless!,1,0,0,1,0
445,Hell of a bad product!,1,1,0,0,0
446,Can we find common ground on this issue?,0,0,0,0,0
447,You've made a big mistake!,1,0,1,0,0
448,Item matches the description.,0,0,0,0,0
449,OMG this is so good!!!,0,0,0,0,0
450,This sucks so damn bad!,1,1,0,0,0
451,Shit! This broke already!,1,1,0,0,0
452,This crap doesn't work!,1,1,0,0,0
453,Standard quality for the price.,0,0,0,0,0
454,What the fuck is wrong with you!,1,1,0,0,0
455,You'll be sorry!,1,0,1,0,0
456,Functional and practical.,0,0,0,0,0
457,Could you please explain this more clearly?,0,0,0,0,0
458,Awesome! My whole family loves it!,0,0,0,0,0
459,Fucking hell what a mess!,1,1,0,0,0
460,This sucks so damn bad!,1,1,0,0,0
461,No complaints so far.,0,0,0,0,0
462,Fantastic! Worth every penny!,0,0,0,0,0
463,Wonderful product! Highly satisfied!,0,0,0,0,0
464,"Decent quality, not perfect.",0,0,0,0,0
465,Screw this garbage!,1,1,0,0,0
466,OMG this is so good!!!,0,0,0,0,0
467,Inferior and unwanted!,1,0,0,0,1
468,What a fucking waste!,1,1,0,0,0
469,Piece of shit broke!,1,1,0,0,0
470,Thank you for sharing your thoughts.,0,0,0,0,0
471,Great service! Very pleased!,0,0,0,0,0
472,Wonderful product! Highly satisfied!,0,0,0,0,0
473,"Product is fine, packaging could be better.",0,0,0,0,0
474,This is complete BS!,1,1,0,0,0
475,Let's discuss this in a civil manner.,0,0,0,0,0
476,Shitty product! Total crap!,1,1,0,0,0
477,Product works as described.,0,0,0,0,0
478,Brilliant! Solved all my problems!,0,0,0,0,0
479,Damn it failed!,1,1,0,0,0
480,Terrific! Exceeds expectations!,0,0,0,0,0
481,Great service! Very pleased!,0,0,0,0,0
482,You've made a big mistake!,1,0,1,0,0
483,This damn thing is broken!,1,1,0,0,0
484,This product is amazing! Best purchase ever!,0,0,0,0,0
485,Hell this is terrible!,1,1,0,0,0
486,Excellent quality! Very impressed!,0,0,0,0,0
487,I love this so much! Highly recommend!,0,0,0,0,0
488,Meets my basic needs.,0,0,0,0,0
489,This shit is unbelievable!,1,1,0,0,0
490,Excellent quality! Very impressed!,0,0,0,0,0
491,Awesome! My whole family loves it!,0,0,0,0,0
492,No complaints so far.,0,0,0,0,0
493,Fuck this company!,1,1,0,0,0
494,Your people are all the same!,1,0,0,0,1
495,This crap doesn't work!,1,1,0,0,0
496,Damn it failed!,1,1,0,0,0
497,OMG this is so good!!!,0,0,0,0,0
498,Best thing ever! So happy!,0,0,0,0,0
499,OMG this is so good!!!,0,0,0,0,0
500,Grateful for the quick response!,0,0,0,0,0
501,This is fucking ridiculous!,1,1,0,0,0
502,Terrific! Exceeds expectations!,0,0,0,0,0
503,Your culture is backwards!,1,0,0,0,1
504,Fantastic! Worth every penny!,0,0,0,0,0
505,"Happy overall, small suggestions.",0,0,0,0,0
506,Shut up! Nobody cares what you think!,1,0,0,1,0
507,"Decent quality, not perfect.",0,0,0,0,0
508,Hell this is terrible!,1,1,0,0,0
509,You're an idiot and you don't know anything!,1,0,0,1,0
510,Fucking hell what a mess!,1,1,0,0,0
511,OMG this is so good!!!,0,0,0,0,0
512,I'm coming for you!,1,0,1,0,0
513,"Happy overall, small suggestions.",0,0,0,0,0
514,Fucking disaster!,1,1,0,0,0
515,You're so stupid it hurts!,1,0,0,1,0
516,Brilliant! Solved all my problems!,0,0,0,0,0
517,No complaints so far.,0,0,0,0,0
518,Damn this thing!,1,1,0,0,0
519,Fuck this company!,1,1,0,0,0
520,Best thing ever! So happy!,0,0,0,0,0
521,Fuck off! I don't care!,1,1,0,0,0
522,Terrific! Exceeds expectations!,0,0,0,0,0
523,You don't deserve rights!,1,0,0,0,1
524,Fucking worst ever!,1,1,0,0,0
525,This sucks so damn bad!,1,1,0,0,0
526,This sucks so damn bad!,1,1,0,0,0
527,Superb! Couldn't be happier!,0,0,0,0,0
528,What a load of crap!,1,1,0,0,0
529,This crap doesn't work!,1,1,0,0,0
530,You're a joke! Everyone laughs at you!,1,0,0,1,0
531,As expected.,0,0,0,0,0
532,You don't deserve rights!,1,0,0,0,1
533,I'll ruin your life!,1,0,1,0,0
534,"Satisfied, though shipping took long.",0,0,0,0,0
535,The package arrived on time.,0,0,0,0,0
536,Let's discuss this in a civil manner.,0,0,0,0,0
537,Typical behavior from your group!,1,0,0,0,1
538,This product is amazing! Best purchase ever!,0,0,0,0,0
539,Fuck this stupid thing!,1,1,0,0,0
540,I'm open to learning more about your position.,0,0,0,0,0
541,Amazing experience! Thank you!,0,0,0,0,0
542,What a shitshow!,1,1,0,0,0
543,What a fucking waste!,1,1,0,0,0
544,Damn shame!,1,1,0,0,0
545,What a loser! Get a life!,1,0,0,1,0
546,Typical behavior from your group!,1,0,0,0,1
547,You're full of shit!,1,1,0,0,0
548,Acceptable quality.,0,0,0,0,0
549,You're worthless! Complete failure!,1,0,0,1,0
550,Perfect! Exactly what I needed!,0,0,0,0,0
551,This damn thing is broken!,1,1,0,0,0
552,Awesome! My whole family loves it!,0,0,0,0,0
553,Piece of junk! Trash!,1,1,0,0,0
554,Your kind ruins everything!,1,0,0,0,1
555,Awesome! My whole family loves it!,0,0,0,0,0
556,Can we find common ground on this issue?,0,0,0,0,0
557,"Works as intended, design could improve.",0,0,0,0,0
558,Damn right!,1,1,0,0,0
559,Shitty product! Total crap!,1,1,0,0,0
560,Acceptable quality.,0,0,0,0,0
561,What the fuck is wrong with you!,1,1,0,0,0
562,You're full of shit!,1,1,0,0,0
563,Thank you for the excellent service!,0,0,0,0,0
564,"Good value, instructions unclear.",0,0,0,0,0
565,Product works as described.,0,0,0,0,0
566,Awesome! My whole family loves it!,0,0,0,0,0
567,Brilliant! Solved all my problems!,0,0,0,0,0
568,Wow! Just wow! Amazing!,0,0,0,0,0
569,What a loser! Get a life!,1,0,0,1,0
570,Holy shit this is bad!,1,1,0,0,0
571,I love this so much! Highly recommend!,0,0,0,0,0
572,Your culture is backwards!,1,0,0,0,1
573,Much appreciated!,0,0,0,0,0
574,Thank you for sharing your thoughts.,0,0,0,0,0
575,This damn thing is broken!,1,1,0,0,0
576,Fucking hell what a mess!,1,1,0,0,0
577,Brilliant! Solved all my problems!,0,0,0,0,0
578,Ignorant fool! Learn something!,1,0,0,1,0
579,Damn it all to hell!,1,1,0,0,0
580,Typical behavior from your group!,1,0,0,0,1
581,What the hell!,1,1,0,0,0
582,Bloody awful!,1,1,0,0,0
583,You'll be sorry!,1,0,1,0,0
584,Disgusting person! Stay away!,1,0,0,1,0
585,Fuck this stupid thing!,1,1,0,0,0
586,This is utter crap!,1,1,0,0,0
587,Piece of junk! Trash!,1,1,0,0,0
588,You're pathetic and useless!,1,0,0,1,0
589,You're full of shit!,1,1,0,0,0
590,What a shitshow!,1,1,0,0,0
591,Wonderful product! Highly satisfied!,0,0,0,0,0
592,Fuck off! I don't care!,1,1,0,0,0
593,"Happy overall, small suggestions.",0,0,0,0,0
594,You don't deserve rights!,1,0,0,0,1
595,Bloody awful!,1,1,0,0,0
596,The package arrived on time.,0,0,0,0,0
597,What a loser! Get a life!,1,0,0,1,0
598,"Good value, instructions unclear.",0,0,0,0,0
599,Shit product!,1,1,0,0,0
600,OMG this is so good!!!,0,0,0,0,0
601,Holy shit this is bad!,1,1,0,0,0
