id,text,emotion,joy,sadness,anger,fear,surprise
68,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
69,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
70,Enraged! Someone will pay for this!,anger,0,0,1,0,0
71,Delighted with the results! So pleased!,joy,1,0,0,0,0
72,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
73,Livid! Can't believe this happened!,anger,0,0,1,0,0
74,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
75,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
76,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
77,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
78,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
79,Astonished! Never saw that coming!,surprise,0,0,0,0,1
80,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
81,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
82,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
83,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
84,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
85,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
86,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
87,Livid! Can't believe this happened!,anger,0,0,1,0,0
88,Enraged! Someone will pay for this!,anger,0,0,1,0,0
89,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
90,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
91,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
92,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
93,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
94,Furious! How dare they treat me like this!,anger,0,0,1,0,0
95,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
96,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
97,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
98,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
99,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
100,Pure happiness! Can't stop smiling!,joy,1,0,0,0,0
101,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
102,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
103,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
104,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
105,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
106,Lost something precious. So painful.,sadness,0,1,0,0,0
107,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
108,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
109,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
110,Panic setting in. Heart racing!,fear,0,0,0,1,0
111,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
112,Flabbergasted! Speechless!,surprise,0,0,0,0,1
113,Startled! That came out of nowhere!,surprise,0,0,0,0,1
114,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
115,Lost something precious. So painful.,sadness,0,1,0,0,0
116,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
117,Amazed! What a twist!,surprise,0,0,0,0,1
118,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
119,Delighted with the results! So pleased!,joy,1,0,0,0,0
120,Flabbergasted! Speechless!,surprise,0,0,0,0,1
121,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
122,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
123,Livid! Can't believe this happened!,anger,0,0,1,0,0
124,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
125,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
126,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
127,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
128,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
129,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
130,Pure happiness! Can't stop smiling!,joy,1,0,0,0,0
131,I'm scared and worried about this 😰,fear,0,0,0,1,0
132,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
133,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
134,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
135,Astonished! Never saw that coming!,surprise,0,0,0,0,1
136,Astonished! Never saw that coming!,surprise,0,0,0,0,1
137,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
138,Flabbergasted! Speechless!,surprise,0,0,0,0,1
139,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
140,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
141,I'm scared and worried about this 😰,fear,0,0,0,1,0
142,Delighted with the results! So pleased!,joy,1,0,0,0,0
143,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
144,Astonished! Never saw that coming!,surprise,0,0,0,0,1
145,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
146,Lost something precious. So painful.,sadness,0,1,0,0,0
147,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
148,Startled! That came out of nowhere!,surprise,0,0,0,0,1
149,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
150,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
151,Lost something precious. So painful.,sadness,0,1,0,0,0
152,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
153,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
154,Astonished! Never saw that coming!,surprise,0,0,0,0,1
155,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
156,Livid! Can't believe this happened!,anger,0,0,1,0,0
157,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
158,Seething with rage! Lost my temper!,anger,0,0,1,0,0
159,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
160,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
161,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
162,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
163,Amazed! What a twist!,surprise,0,0,0,0,1
164,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
165,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
166,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
167,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
168,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
169,Startled! That came out of nowhere!,surprise,0,0,0,0,1
170,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
171,Startled! That came out of nowhere!,surprise,0,0,0,0,1
172,Livid! Can't believe this happened!,anger,0,0,1,0,0
173,I'm scared and worried about this 😰,fear,0,0,0,1,0
174,Seething with rage! Lost my temper!,anger,0,0,1,0,0
175,Flabbergasted! Speechless!,surprise,0,0,0,0,1
176,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
177,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
178,Seething with rage! Lost my temper!,anger,0,0,1,0,0
179,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
180,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
181,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
182,Lost something precious. So painful.,sadness,0,1,0,0,0
183,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
184,Bewildered! How did this happen?!,surprise,0,0,0,0,1
185,Astonished! Never saw that coming!,surprise,0,0,0,0,1
186,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
187,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
188,Mad as hell! This is infuriating!,anger,0,0,1,0,0
189,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
190,Delighted with the results! So pleased!,joy,1,0,0,0,0
191,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
192,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
193,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
194,Pure happiness! Can't stop smiling!,joy,1,0,0,0,0
195,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
196,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
197,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
198,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
199,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
200,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
201,Startled! That came out of nowhere!,surprise,0,0,0,0,1
202,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
203,Livid! Can't believe this happened!,anger,0,0,1,0,0
204,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
205,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
206,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
207,Startled! That came out of nowhere!,surprise,0,0,0,0,1
208,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
209,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
210,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
211,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
212,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
213,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
214,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
215,Seething with rage! Lost my temper!,anger,0,0,1,0,0
216,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
217,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
218,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
219,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
220,Enraged! Someone will pay for this!,anger,0,0,1,0,0
221,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
222,Flabbergasted! Speechless!,surprise,0,0,0,0,1
223,Flabbergasted! Speechless!,surprise,0,0,0,0,1
224,I'm scared and worried about this 😰,fear,0,0,0,1,0
225,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
226,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
227,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
228,Delighted with the results! So pleased!,joy,1,0,0,0,0
229,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
230,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
231,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
232,Flabbergasted! Speechless!,surprise,0,0,0,0,1
233,Bewildered! How did this happen?!,surprise,0,0,0,0,1
234,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
235,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
236,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
237,Panic setting in. Heart racing!,fear,0,0,0,1,0
238,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
239,Flabbergasted! Speechless!,surprise,0,0,0,0,1
240,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
241,Startled! That came out of nowhere!,surprise,0,0,0,0,1
242,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
243,Amazed! What a twist!,surprise,0,0,0,0,1
244,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
245,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
246,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
247,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
248,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
249,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
250,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
251,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
252,Panic setting in. Heart racing!,fear,0,0,0,1,0
253,Panic setting in. Heart racing!,fear,0,0,0,1,0
254,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
255,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
256,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
257,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
258,I'm scared and worried about this 😰,fear,0,0,0,1,0
259,I'm scared and worried about this 😰,fear,0,0,0,1,0
260,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
261,Startled! That came out of nowhere!,surprise,0,0,0,0,1
262,Panic setting in. Heart racing!,fear,0,0,0,1,0
263,Panic setting in. Heart racing!,fear,0,0,0,1,0
264,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
265,Furious! How dare they treat me like this!,anger,0,0,1,0,0
266,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
267,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
268,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
269,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
270,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
271,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
272,Bewildered! How did this happen?!,surprise,0,0,0,0,1
273,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
274,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
275,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
276,I'm scared and worried about this 😰,fear,0,0,0,1,0
277,Panic setting in. Heart racing!,fear,0,0,0,1,0
278,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
279,Bewildered! How did this happen?!,surprise,0,0,0,0,1
280,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
281,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
282,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
283,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
284,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
285,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
286,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
287,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
288,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
289,Bewildered! How did this happen?!,surprise,0,0,0,0,1
290,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
291,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
292,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
293,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
294,Livid! Can't believe this happened!,anger,0,0,1,0,0
295,Pure happiness! Can't stop smiling!,joy,1,0,0,0,0
296,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
297,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
298,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
299,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
300,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
301,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
302,Panic setting in. Heart racing!,fear,0,0,0,1,0
303,Livid! Can't believe this happened!,anger,0,0,1,0,0
304,Furious! How dare they treat me like this!,anger,0,0,1,0,0
305,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
306,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
307,Bewildered! How did this happen?!,surprise,0,0,0,0,1
308,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
309,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
310,This is heartbreaking. Can't stop crying.,sadness,0,1,0,0,0
311,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
312,I'm so angry right now! This is ridiculous! 😡,anger,0,0,1,0,0
313,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
314,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
315,Lost something precious. So painful.,sadness,0,1,0,0,0
316,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
317,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
318,Amazed! What a twist!,surprise,0,0,0,0,1
319,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
320,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
321,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
322,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
323,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
324,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
325,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
326,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
327,I'm scared and worried about this 😰,fear,0,0,0,1,0
328,Seething with rage! Lost my temper!,anger,0,0,1,0,0
329,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
330,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
331,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
332,Flabbergasted! Speechless!,surprise,0,0,0,0,1
333,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
334,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
335,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
336,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
337,Bewildered! How did this happen?!,surprise,0,0,0,0,1
338,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
339,Delighted with the results! So pleased!,joy,1,0,0,0,0
340,Amazed! What a twist!,surprise,0,0,0,0,1
341,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
342,Seething with rage! Lost my temper!,anger,0,0,1,0,0
343,I'm so happy! This made my day! 😄,joy,1,0,0,0,0
344,Startled! That came out of nowhere!,surprise,0,0,0,0,1
345,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
346,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
347,Disappointed and upset. This hurts so much.,sadness,0,1,0,0,0
348,Panic setting in. Heart racing!,fear,0,0,0,1,0
349,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
350,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
351,Enraged! Someone will pay for this!,anger,0,0,1,0,0
352,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
353,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
354,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
355,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
356,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
357,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
358,Cheerful and optimistic! Great vibes!,joy,1,0,0,0,0
359,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
360,Frightened and vulnerable. Need protection!,fear,0,0,0,1,0
361,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
362,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
363,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
364,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
365,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
366,Pure happiness! Can't stop smiling!,joy,1,0,0,0,0
367,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
368,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
369,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
370,Outraged by this injustice! Not tolerating it!,anger,0,0,1,0,0
371,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
372,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
373,Enraged! Someone will pay for this!,anger,0,0,1,0,0
374,This is terrifying. I don't know what to do.,fear,0,0,0,1,0
375,Pure happiness! Can't stop smiling!,joy,1,0,0,0,0
376,Furious! How dare they treat me like this!,anger,0,0,1,0,0
377,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
378,Flabbergasted! Speechless!,surprise,0,0,0,0,1
379,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
380,Lost something precious. So painful.,sadness,0,1,0,0,0
381,Bewildered! How did this happen?!,surprise,0,0,0,0,1
382,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
383,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
384,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
385,Livid! Can't believe this happened!,anger,0,0,1,0,0
386,Delighted with the results! So pleased!,joy,1,0,0,0,0
387,Melancholic mood. Nothing helps.,sadness,0,1,0,0,0
388,Enraged! Someone will pay for this!,anger,0,0,1,0,0
389,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
390,Bewildered! How did this happen?!,surprise,0,0,0,0,1
391,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
392,Feeling euphoric! Amazing news!,joy,1,0,0,0,0
393,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
394,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
395,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
396,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
397,Feeling joyful and blessed! Life is good!,joy,1,0,0,0,0
398,What?! This is shocking! Can't believe it!,surprise,0,0,0,0,1
399,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
400,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
401,This makes my blood boil! Unacceptable!,anger,0,0,1,0,0
402,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
403,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
404,Feeling blue today. Everything seems grey.,sadness,0,1,0,0,0
405,Miserable and dejected. Need comfort.,sadness,0,1,0,0,0
406,Wow! I didn't expect this at all! 😲,surprise,0,0,0,0,1
407,I'm really sad about this. Feeling down 😢,sadness,0,1,0,0,0
408,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
409,I'm scared and worried about this 😰,fear,0,0,0,1,0
410,Irritated beyond words! So frustrating!,anger,0,0,1,0,0
411,Mad as hell! This is infuriating!,anger,0,0,1,0,0
412,Depressed and unmotivated. Can't go on.,sadness,0,1,0,0,0
413,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
414,Delighted with the results! So pleased!,joy,1,0,0,0,0
415,Flabbergasted! Speechless!,surprise,0,0,0,0,1
416,Overjoyed! Dreams coming true!,joy,1,0,0,0,0
417,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
418,Celebrating success! Best feeling ever!,joy,1,0,0,0,0
419,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
420,Seething with rage! Lost my temper!,anger,0,0,1,0,0
421,Enraged! Someone will pay for this!,anger,0,0,1,0,0
422,Lost something precious. So painful.,sadness,0,1,0,0,0
423,Dread filling my mind. Can't sleep!,fear,0,0,0,1,0
424,Seething with rage! Lost my temper!,anger,0,0,1,0,0
425,Afraid of what might happen. So nervous!,fear,0,0,0,1,0
426,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
427,Caught off guard! Totally unexpected!,surprise,0,0,0,0,1
428,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
429,Tears flowing freely. Heart is heavy.,sadness,0,1,0,0,0
430,Alarmed by recent events. Stay safe!,fear,0,0,0,1,0
431,Content and peaceful! Life is wonderful!,joy,1,0,0,0,0
432,OMG! This is unbelievable! So surprised!,surprise,0,0,0,0,1
433,Terrified! This is my worst nightmare!,fear,0,0,0,1,0
434,Lost something precious. So painful.,sadness,0,1,0,0,0
435,Grief and sorrow overwhelming me.,sadness,0,1,0,0,0
436,Feeling anxious and fearful about the future.,fear,0,0,0,1,0
437,Hostile and aggressive! Fed up!,anger,0,0,1,0,0
438,Paranoid thoughts. Everything seems threatening!,fear,0,0,0,1,0
439,Bewildered! How did this happen?!,surprise,0,0,0,0,1
440,Yay! Finally got what I wanted! So excited!,joy,1,0,0,0,0
441,Stunned! This is mind-blowing!,surprise,0,0,0,0,1
